PointID,Year,Site_ID_OriginalStudy,Easting,Northing,OriginalClass,ConvertedClass
460,2015,LMI3,832052.2,807224.9,Shrubland,Shrubland
461,2015,LPK1,809892.2,812270.6,Grassland,Grassland
462,2015,LRN1,836079.8,824207.8,Woodland,Woodland
463,2015,LRN2,836280.4,824323.9,Woodland,Woodland
464,2015,LRN3,836592.8,824641.2,Woodland,Woodland
465,2015,LRN4,836795.6,824673.8,Woodland,Woodland
466,2015,LSP1,813659.9,813576,Woodland,Woodland
467,2015,LSP2,813536.2,813607,Woodland,Woodland
468,2015,LSP3,813271.8,813917.7,Woodland,Woodland
469,2015,LSP4,813171.7,814141.5,Woodland,Woodland
470,2015,LTT1,817074.6,813736.2,Woodland,Woodland
471,2015,MOS1,843683.8,830510.3,Grassland,Grassland
472,2015,MPO1,822275.4,838587.5,Grassland,Grassland
473,2015,MPO2,822100.5,838609.8,Grassland,Grassland
474,2015,MPO3,822090.1,838476.9,Grassland,Grassland
475,2015,MPW1,842871.8,827243.2,Woodland,Woodland
476,2015,MTLW1,842198.3,827772.8,Woodland,Woodland
477,2015,NTG(1)1,831367.4,832836.9,Woodland,Woodland
478,2015,NTG(2)1,831573.8,832246.5,Woodland,Woodland
479,2015,PNH1,816916.1,814695.4,Woodland,Woodland
480,2015,POK1,832337.2,815153.3,Woodland,Woodland
481,2015,POK2,832290.4,815122.4,Woodland,Woodland
482,2015,POK3,832673.3,815242.7,Woodland,Woodland
483,2015,POK4,832704.7,815316,Woodland,Woodland
484,2015,PTC1,851623.3,829198.3,Woodland,Woodland
485,2015,PTC2,851743.1,829083.5,Woodland,Woodland
486,2015,PTC3,852023.1,829060.1,Shrubland,Shrubland
487,2015,PTC4,852138,828981,Grassland,Grassland
488,2015,PTCS1,851438.4,828685.5,Shrubland,Shrubland
489,2015,PTCS2,851329.6,828394.1,Shrubland,Shrubland
490,2015,PTCS3,851202.3,827961,Shrubland,Shrubland
491,2015,SLT1,836788.6,837615.9,Woodland,Woodland
492,2015,SLT2,836598.2,837719.3,Grassland,Grassland
493,2015,SLT3,836558.8,837495.9,Woodland,Woodland
494,2015,SLT4,836790.3,837505.2,Woodland,Woodland
495,2015,SLT6,836881.2,838023.8,Woodland,Woodland
496,2015,SMW1,833809.6,828629.5,Woodland,Woodland
497,2015,SMW2,833819.9,828613.2,Woodland,Woodland
498,2015,SMW3,833904,828646.4,Woodland,Woodland
499,2015,SMW4,833897.1,828698.1,Woodland,Woodland
500,2015,SPR1,806737,811287.9,Shrubland,Shrubland
501,2015,SPR2,806487.1,810505,Woodland,Woodland
502,2015,SPR3,806286.6,810272.6,Shrubland,Shrubland
503,2015,SPR4,806279.4,809855.3,Grassland,Grassland
504,2015,SSH1,832987,834395.7,Woodland,Woodland
505,2015,SWH1,838362.9,842513,Woodland,Woodland
506,2015,TAP1,855210.1,837854.7,Shrubland,Shrubland
507,2015,TAP3,855400.4,837497.3,Shrubland,Shrubland
508,2015,TAP4,855423.8,836732.7,Grassland,Grassland
509,2015,TKCR1,844086.1,828827.3,Grassland,Grassland
510,2015,TLP1,827610.6,828484.4,Woodland,Woodland
511,2015,TLP2,827396.4,828440.3,Shrubland,Shrubland
512,2015,TMS1,831037.9,830626.4,Woodland,Woodland
513,2015,TMS2,830943.4,830750,Grassland,Grassland
514,2015,TMS3,830949.8,830856.8,Grassland,Grassland
515,2015,TMS4,831125.5,830840.7,Grassland,Grassland
516,2015,TOM1,831806.5,833609.7,Woodland,Woodland
517,2015,TPK1,836773.3,831863.7,Woodland,Woodland
518,2015,TPK2,836674.9,831500.5,Woodland,Woodland
519,2015,TPK3,836619.6,831629.1,Woodland,Woodland
520,2015,TPK4,836589.4,831965.8,Woodland,Woodland
521,2015,TTM1,840722.4,813459.6,Shrubland,Shrubland
522,2015,TTM2,840428.8,813460,Shrubland,Shrubland
523,2015,TTM3,840383.7,813667,Woodland,Woodland
524,2015,TTM4,840300.7,813909.8,Woodland,Woodland
525,2015,TYF1,830230.2,835038.2,Woodland,Woodland
526,2015,WCYF1,845342,829492.4,Woodland,Woodland
527,2020,Pil01_12,840803.2,836572.9,Bare rock/ soil,Barren land
528,2020,Pil02_02,842583.7,838144.1,Woodland,Woodland
529,2020,Pil02_05,842104.6,838975,Shrubland,Shrubland
530,2020,Pil02_15,841816.2,840035.2,Grassland,Grassland
531,2020,Pil03_07,842523.7,832366.6,Marsh/ reed bed,Grassland
532,2020,Pil03_22,844381.6,832488.6,Grassland,Grassland
533,2020,Pil04_01,842224.6,838830.3,Woodland,Woodland
534,2020,Pil04_02,842166,838442.5,Shrubland,Shrubland
535,2020,Pil04_06,841991.3,838388.7,Grassland,Grassland
536,2020,Pil04_08,841911.1,838416.2,Grassland,Grassland
537,2020,Pil04_09,841723.1,838470.1,Grassland,Grassland
538,2020,Pil04_10,841361.1,838525,Woodland,Woodland
539,2020,Pil04_11,841355.4,838504.6,Grassland,Grassland
540,2020,Pil04_12,841259.4,838502.5,Grassland,Grassland
541,2020,Pil04_13,841108.6,838551.6,Grassland,Grassland
542,2020,Pil04_14,840978.7,838666.8,Grassland,Grassland
543,2020,Pil04_15,840152.4,838911.7,Grassland,Grassland
544,2020,Pil06_02,836108.3,840392.5,Grassland,Grassland
545,2020,Pil06_08,836703.6,839134.3,Water,Water
546,2020,Pil06_12,836748.3,838905.9,Shrubland,Shrubland
547,2020,Pil06_16,836825.2,838676.9,Woodland,Woodland
548,2020,Pil06_17,836847.2,838497.5,Woodland,Woodland
549,2020,Pil06_20,836870.3,837073.4,Grassland,Grassland
550,2020,Pil07_01,846471.1,829637,Grassland,Grassland
551,2020,Pil07_08,847313.5,831405.8,Woodland,Woodland
552,2020,Pil07_10,848033.6,831721.8,Woodland,Woodland
553,2020,Pil07_12,848132.3,831989.1,Grassland,Grassland
554,2020,Pil07_21,847495.6,833568.5,Grassland,Grassland
555,2020,Pil07_22,847564.7,833617.4,Grassland,Grassland
